"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Australia","Coking coal - production","2018","Metric tons,  thousand","179350",""
"Australia","Coking coal - production","2017","Metric tons,  thousand","190000",""
"Australia","Coking coal - production","2016","Metric tons,  thousand","189302",""
"Australia","Coking coal - production","2015","Metric tons,  thousand","191056",""
"Australia","Coking coal - production","2014","Metric tons,  thousand","180295",""
"Australia","Coking coal - production","2013","Metric tons,  thousand","159494",""
"Australia","Coking coal - production","2012","Metric tons,  thousand","146944",""
"Australia","Coking coal - production","2011","Metric tons,  thousand","146712",""
"Australia","Coking coal - production","2010","Metric tons,  thousand","162929",""
"Australia","Coking coal - production","2009","Metric tons,  thousand","129810",""
"Australia","Coking coal - production","2008","Metric tons,  thousand","143991",""
"Australia","Coking coal - production","2007","Metric tons,  thousand","141959",""
"Australia","Coking coal - production","2006","Metric tons,  thousand","132895",""
"Australia","Coking coal - production","2005","Metric tons,  thousand","128358",""
"Australia","Coking coal - production","2004","Metric tons,  thousand","116190",""
"Australia","Coking coal - production","2003","Metric tons,  thousand","112289",""
"Australia","Coking coal - production","2002","Metric tons,  thousand","107285",""
"Australia","Coking coal - production","2001","Metric tons,  thousand","109113",""
"Australia","Coking coal - production","2000","Metric tons,  thousand","103750",""
"Australia","Coking coal - production","1999","Metric tons,  thousand","97142",""
"Australia","Coking coal - production","1998","Metric tons,  thousand","88800",""
"Australia","Coking coal - production","1997","Metric tons,  thousand","89024",""
"Australia","Coking coal - production","1996","Metric tons,  thousand","82186",""
"Australia","Coking coal - production","1995","Metric tons,  thousand","79375",""
"Australia","Coking coal - production","1994","Metric tons,  thousand","76858",""
"Australia","Coking coal - production","1993","Metric tons,  thousand","79162",""
"Australia","Coking coal - production","1992","Metric tons,  thousand","72921",""
"Australia","Coking coal - production","1991","Metric tons,  thousand","70857",""
"Australia","Coking coal - production","1990","Metric tons,  thousand","64631",""
"Canada","Coking coal - production","2018","Metric tons,  thousand","27361",""
"Canada","Coking coal - production","2017","Metric tons,  thousand","28127",""
"Canada","Coking coal - production","2016","Metric tons,  thousand","25016",""
"Canada","Coking coal - production","2015","Metric tons,  thousand","27341",""
"Canada","Coking coal - production","2014","Metric tons,  thousand","32500",""
"Canada","Coking coal - production","2013","Metric tons,  thousand","34063",""
"Canada","Coking coal - production","2012","Metric tons,  thousand","31086",""
"Canada","Coking coal - production","2011","Metric tons,  thousand","29452",""
"Canada","Coking coal - production","2010","Metric tons,  thousand","28153",""
"Canada","Coking coal - production","2009","Metric tons,  thousand","22980",""
"Canada","Coking coal - production","2008","Metric tons,  thousand","28345",""
"Canada","Coking coal - production","2007","Metric tons,  thousand","32811",""
"Canada","Coking coal - production","2006","Metric tons,  thousand","29409",""
"Canada","Coking coal - production","2005","Metric tons,  thousand","30796",""
"Canada","Coking coal - production","2004","Metric tons,  thousand","25509",""
"Canada","Coking coal - production","2003","Metric tons,  thousand","24077",""
"Canada","Coking coal - production","2002","Metric tons,  thousand","25756",""
"Canada","Coking coal - production","2001","Metric tons,  thousand","28609",""
"Canada","Coking coal - production","2000","Metric tons,  thousand","28164",""
"Canada","Coking coal - production","1999","Metric tons,  thousand","28433",""
"Canada","Coking coal - production","1998","Metric tons,  thousand","28278",""
"Canada","Coking coal - production","1997","Metric tons,  thousand","30941",""
"Canada","Coking coal - production","1996","Metric tons,  thousand","29706",""
"Canada","Coking coal - production","1995","Metric tons,  thousand","28624",""
"Canada","Coking coal - production","1994","Metric tons,  thousand","27269",""
"Canada","Coking coal - production","1993","Metric tons,  thousand","25793",""
"Canada","Coking coal - production","1992","Metric tons,  thousand","22042",""
"Canada","Coking coal - production","1991","Metric tons,  thousand","29284",""
"Canada","Coking coal - production","1990","Metric tons,  thousand","27660",""
"Czechia","Coking coal - production","2018","Metric tons,  thousand","2240",""
"Czechia","Coking coal - production","2017","Metric tons,  thousand","2913",""
