"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Albania","Conventional crude oil - production","2017","Metric tons,  thousand","958.936",""
"Albania","Conventional crude oil - production","2016","Metric tons,  thousand","1056",""
"Albania","Conventional crude oil - production","2015","Metric tons,  thousand","1279",""
"Albania","Conventional crude oil - production","2014","Metric tons,  thousand","1368.22",""
"Albania","Conventional crude oil - production","2013","Metric tons,  thousand","1206.63",""
"Albania","Conventional crude oil - production","2012","Metric tons,  thousand","1030.72",""
"Albania","Conventional crude oil - production","2011","Metric tons,  thousand","894.53",""
"Albania","Conventional crude oil - production","2010","Metric tons,  thousand","743.95",""
"Albania","Conventional crude oil - production","2009","Metric tons,  thousand","576.63",""
"Albania","Conventional crude oil - production","2008","Metric tons,  thousand","577.9",""
"Albania","Conventional crude oil - production","2007","Metric tons,  thousand","564",""
"Albania","Conventional crude oil - production","2006","Metric tons,  thousand","500",""
"Albania","Conventional crude oil - production","2005","Metric tons,  thousand","418",""
"Albania","Conventional crude oil - production","2004","Metric tons,  thousand","420",""
"Albania","Conventional crude oil - production","2003","Metric tons,  thousand","375",""
"Albania","Conventional crude oil - production","2002","Metric tons,  thousand","393",""
"Albania","Conventional crude oil - production","2001","Metric tons,  thousand","311",""
"Albania","Conventional crude oil - production","2000","Metric tons,  thousand","317",""
"Albania","Conventional crude oil - production","1999","Metric tons,  thousand","323",""
"Albania","Conventional crude oil - production","1998","Metric tons,  thousand","368",""
"Albania","Conventional crude oil - production","1997","Metric tons,  thousand","366",""
"Albania","Conventional crude oil - production","1996","Metric tons,  thousand","488",""
"Albania","Conventional crude oil - production","1995","Metric tons,  thousand","521",""
"Albania","Conventional crude oil - production","1994","Metric tons,  thousand","535",""
"Albania","Conventional crude oil - production","1993","Metric tons,  thousand","568",""
"Albania","Conventional crude oil - production","1992","Metric tons,  thousand","585",""
"Albania","Conventional crude oil - production","1991","Metric tons,  thousand","845",""
"Albania","Conventional crude oil - production","1990","Metric tons,  thousand","1067",""
"Algeria","Conventional crude oil - production","2018","Metric tons,  thousand","48588",""
"Algeria","Conventional crude oil - production","2017","Metric tons,  thousand","49468",""
"Algeria","Conventional crude oil - production","2016","Metric tons,  thousand","50945",""
"Algeria","Conventional crude oil - production","2015","Metric tons,  thousand","49184",""
"Algeria","Conventional crude oil - production","2014","Metric tons,  thousand","50805",""
"Algeria","Conventional crude oil - production","2013","Metric tons,  thousand","49574",""
"Algeria","Conventional crude oil - production","2012","Metric tons,  thousand","51063",""
"Algeria","Conventional crude oil - production","2011","Metric tons,  thousand","54538",""
"Algeria","Conventional crude oil - production","2010","Metric tons,  thousand","55694",""
"Algeria","Conventional crude oil - production","2009","Metric tons,  thousand","57112",""
"Algeria","Conventional crude oil - production","2008","Metric tons,  thousand","61585",""
"Algeria","Conventional crude oil - production","2007","Metric tons,  thousand","64085",""
"Algeria","Conventional crude oil - production","2006","Metric tons,  thousand","63865",""
"Algeria","Conventional crude oil - production","2005","Metric tons,  thousand","62545",""
"Algeria","Conventional crude oil - production","2004","Metric tons,  thousand","59340",""
"Algeria","Conventional crude oil - production","2003","Metric tons,  thousand","54869",""
"Algeria","Conventional crude oil - production","2002","Metric tons,  thousand","45601",""
"Algeria","Conventional crude oil - production","2001","Metric tons,  thousand","40609",""
"Algeria","Conventional crude oil - production","2000","Metric tons,  thousand","41464",""
"Algeria","Conventional crude oil - production","1999","Metric tons,  thousand","35592",""
"Algeria","Conventional crude oil - production","1998","Metric tons,  thousand","39103",""
"Algeria","Conventional crude oil - production","1997","Metric tons,  thousand","38194",""
"Algeria","Conventional crude oil - production","1996","Metric tons,  thousand","38009",""
"Algeria","Conventional crude oil - production","1995","Metric tons,  thousand","35907",""
"Algeria","Conventional crude oil - production","1994","Metric tons,  thousand","35455",""
"Algeria","Conventional crude oil - production","1993","Metric tons,  thousand","35184",""
"Algeria","Conventional crude oil - production","1992","Metric tons,  thousand","36333",""
"Algeria","Conventional crude oil - production","1991","Metric tons,  thousand","37698",""
"Algeria","Conventional crude oil - production","1990","Metric tons,  thousand","37021",""
"Angola","Conventional crude oil - production","2017","Metric tons,  thousand","77408",""
"Angola","Conventional crude oil - production","2016","Metric tons,  thousand","86319",""
