"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Afghanistan","Electricity - Gross demand","2018","Kilowatt-hours, million","5873",""
"Afghanistan","Electricity - Gross demand","2017","Kilowatt-hours, million","5621.4",""
"Afghanistan","Electricity - Gross demand","2016","Kilowatt-hours, million","5328.8",""
"Afghanistan","Electricity - Gross demand","2015","Kilowatt-hours, million","4752.6",""
"Afghanistan","Electricity - Gross demand","2014","Kilowatt-hours, million","4702.1",""
"Afghanistan","Electricity - Gross demand","2013","Kilowatt-hours, million","4580.5",""
"Afghanistan","Electricity - Gross demand","2012","Kilowatt-hours, million","4038",""
"Afghanistan","Electricity - Gross demand","2011","Kilowatt-hours, million","3687",""
"Afghanistan","Electricity - Gross demand","2010","Kilowatt-hours, million","2732",""
"Afghanistan","Electricity - Gross demand","2009","Kilowatt-hours, million","1793",""
"Afghanistan","Electricity - Gross demand","2008","Kilowatt-hours, million","1568",""
"Afghanistan","Electricity - Gross demand","2007","Kilowatt-hours, million","1682",""
"Afghanistan","Electricity - Gross demand","2006","Kilowatt-hours, million","1455",""
"Afghanistan","Electricity - Gross demand","2005","Kilowatt-hours, million","993",""
"Afghanistan","Electricity - Gross demand","2004","Kilowatt-hours, million","943",""
"Afghanistan","Electricity - Gross demand","2003","Kilowatt-hours, million","977",""
"Afghanistan","Electricity - Gross demand","2002","Kilowatt-hours, million","782.2",""
"Afghanistan","Electricity - Gross demand","2001","Kilowatt-hours, million","745.1",""
"Afghanistan","Electricity - Gross demand","2000","Kilowatt-hours, million","741.7",""
"Afghanistan","Electricity - Gross demand","1999","Kilowatt-hours, million","739",""
"Afghanistan","Electricity - Gross demand","1998","Kilowatt-hours, million","719",""
"Afghanistan","Electricity - Gross demand","1997","Kilowatt-hours, million","728",""
"Afghanistan","Electricity - Gross demand","1996","Kilowatt-hours, million","743",""
"Afghanistan","Electricity - Gross demand","1995","Kilowatt-hours, million","753",""
"Afghanistan","Electricity - Gross demand","1994","Kilowatt-hours, million","770",""
"Afghanistan","Electricity - Gross demand","1993","Kilowatt-hours, million","780",""
"Afghanistan","Electricity - Gross demand","1992","Kilowatt-hours, million","789",""
"Afghanistan","Electricity - Gross demand","1991","Kilowatt-hours, million","945",""
