"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Albania","Gas Oil/ Diesel Oil - Production","2017","Metric tons,  thousand","158.251",""
"Albania","Gas Oil/ Diesel Oil - Production","2016","Metric tons,  thousand","18",""
"Albania","Gas Oil/ Diesel Oil - Production","2015","Metric tons,  thousand","56",""
"Albania","Gas Oil/ Diesel Oil - Production","2014","Metric tons,  thousand","89.32",""
"Albania","Gas Oil/ Diesel Oil - Production","2013","Metric tons,  thousand","0",""
"Albania","Gas Oil/ Diesel Oil - Production","2012","Metric tons,  thousand","20.29",""
"Albania","Gas Oil/ Diesel Oil - Production","2011","Metric tons,  thousand","85.15",""
"Albania","Gas Oil/ Diesel Oil - Production","2010","Metric tons,  thousand","21.82",""
"Albania","Gas Oil/ Diesel Oil - Production","2009","Metric tons,  thousand","56.39",""
"Albania","Gas Oil/ Diesel Oil - Production","2008","Metric tons,  thousand","86.56",""
"Albania","Gas Oil/ Diesel Oil - Production","2007","Metric tons,  thousand","85",""
"Albania","Gas Oil/ Diesel Oil - Production","2006","Metric tons,  thousand","99",""
"Albania","Gas Oil/ Diesel Oil - Production","2005","Metric tons,  thousand","72",""
"Albania","Gas Oil/ Diesel Oil - Production","2004","Metric tons,  thousand","74",""
"Albania","Gas Oil/ Diesel Oil - Production","2003","Metric tons,  thousand","97",""
"Albania","Gas Oil/ Diesel Oil - Production","2002","Metric tons,  thousand","85",""
"Albania","Gas Oil/ Diesel Oil - Production","2001","Metric tons,  thousand","64",""
"Albania","Gas Oil/ Diesel Oil - Production","2000","Metric tons,  thousand","72",""
"Albania","Gas Oil/ Diesel Oil - Production","1999","Metric tons,  thousand","63",""
"Albania","Gas Oil/ Diesel Oil - Production","1998","Metric tons,  thousand","91",""
"Albania","Gas Oil/ Diesel Oil - Production","1997","Metric tons,  thousand","57",""
"Albania","Gas Oil/ Diesel Oil - Production","1996","Metric tons,  thousand","95",""
"Albania","Gas Oil/ Diesel Oil - Production","1995","Metric tons,  thousand","106",""
"Albania","Gas Oil/ Diesel Oil - Production","1994","Metric tons,  thousand","111",""
"Albania","Gas Oil/ Diesel Oil - Production","1993","Metric tons,  thousand","148",""
"Albania","Gas Oil/ Diesel Oil - Production","1992","Metric tons,  thousand","116",""
"Albania","Gas Oil/ Diesel Oil - Production","1991","Metric tons,  thousand","180",""
"Albania","Gas Oil/ Diesel Oil - Production","1990","Metric tons,  thousand","238",""
"Algeria","Gas Oil/ Diesel Oil - Production","2018","Metric tons,  thousand","10189",""
"Algeria","Gas Oil/ Diesel Oil - Production","2017","Metric tons,  thousand","8537",""
"Algeria","Gas Oil/ Diesel Oil - Production","2016","Metric tons,  thousand","8892",""
"Algeria","Gas Oil/ Diesel Oil - Production","2015","Metric tons,  thousand","8826",""
"Algeria","Gas Oil/ Diesel Oil - Production","2014","Metric tons,  thousand","9027",""
"Algeria","Gas Oil/ Diesel Oil - Production","2013","Metric tons,  thousand","7042",""
"Algeria","Gas Oil/ Diesel Oil - Production","2012","Metric tons,  thousand","6867",""
"Algeria","Gas Oil/ Diesel Oil - Production","2011","Metric tons,  thousand","7573",""
"Algeria","Gas Oil/ Diesel Oil - Production","2010","Metric tons,  thousand","7806",""
"Algeria","Gas Oil/ Diesel Oil - Production","2009","Metric tons,  thousand","7533",""
"Algeria","Gas Oil/ Diesel Oil - Production","2008","Metric tons,  thousand","7403",""
"Algeria","Gas Oil/ Diesel Oil - Production","2007","Metric tons,  thousand","6388",""
"Algeria","Gas Oil/ Diesel Oil - Production","2006","Metric tons,  thousand","5998",""
"Algeria","Gas Oil/ Diesel Oil - Production","2005","Metric tons,  thousand","5946",""
"Algeria","Gas Oil/ Diesel Oil - Production","2004","Metric tons,  thousand","6340",""
"Algeria","Gas Oil/ Diesel Oil - Production","2003","Metric tons,  thousand","6186",""
"Algeria","Gas Oil/ Diesel Oil - Production","2002","Metric tons,  thousand","6044",""
"Algeria","Gas Oil/ Diesel Oil - Production","2001","Metric tons,  thousand","6441",""
"Algeria","Gas Oil/ Diesel Oil - Production","2000","Metric tons,  thousand","6008",""
"Algeria","Gas Oil/ Diesel Oil - Production","1999","Metric tons,  thousand","6452",""
"Algeria","Gas Oil/ Diesel Oil - Production","1998","Metric tons,  thousand","6198",""
"Algeria","Gas Oil/ Diesel Oil - Production","1997","Metric tons,  thousand","6523",""
"Algeria","Gas Oil/ Diesel Oil - Production","1996","Metric tons,  thousand","6143",""
"Algeria","Gas Oil/ Diesel Oil - Production","1995","Metric tons,  thousand","6864",""
"Algeria","Gas Oil/ Diesel Oil - Production","1994","Metric tons,  thousand","6545",""
"Algeria","Gas Oil/ Diesel Oil - Production","1993","Metric tons,  thousand","7538",""
"Algeria","Gas Oil/ Diesel Oil - Production","1992","Metric tons,  thousand","7960",""
"Algeria","Gas Oil/ Diesel Oil - Production","1991","Metric tons,  thousand","7800",""
"Algeria","Gas Oil/ Diesel Oil - Production","1990","Metric tons,  thousand","8052",""
"Angola","Gas Oil/ Diesel Oil - Production","2017","Metric tons,  thousand","607",""
"Angola","Gas Oil/ Diesel Oil - Production","2016","Metric tons,  thousand","441",""
"Angola","Gas Oil/ Diesel Oil - Production","2015","Metric tons,  thousand","507",""
"Angola","Gas Oil/ Diesel Oil - Production","2014","Metric tons,  thousand","532",""
"Angola","Gas Oil/ Diesel Oil - Production","2013","Metric tons,  thousand","564",""
"Angola","Gas Oil/ Diesel Oil - Production","2012","Metric tons,  thousand","527",""
"Angola","Gas Oil/ Diesel Oil - Production","2011","Metric tons,  thousand","518",""
"Angola","Gas Oil/ Diesel Oil - Production","2010","Metric tons,  thousand","500",""
"Angola","Gas Oil/ Diesel Oil - Production","2009","Metric tons,  thousand","509",""
"Angola","Gas Oil/ Diesel Oil - Production","2008","Metric tons,  thousand","527",""
"Angola","Gas Oil/ Diesel Oil - Production","2007","Metric tons,  thousand","513",""
"Angola","Gas Oil/ Diesel Oil - Production","2006","Metric tons,  thousand","482",""
"Angola","Gas Oil/ Diesel Oil - Production","2005","Metric tons,  thousand","461",""
"Angola","Gas Oil/ Diesel Oil - Production","2004","Metric tons,  thousand","493",""
"Angola","Gas Oil/ Diesel Oil - Production","2003","Metric tons,  thousand","683",""
"Angola","Gas Oil/ Diesel Oil - Production","2002","Metric tons,  thousand","669",""
"Angola","Gas Oil/ Diesel Oil - Production","2001","Metric tons,  thousand","641",""
"Angola","Gas Oil/ Diesel Oil - Production","2000","Metric tons,  thousand","558",""
"Angola","Gas Oil/ Diesel Oil - Production","1999","Metric tons,  thousand","601",""
"Angola","Gas Oil/ Diesel Oil - Production","1998","Metric tons,  thousand","474",""
"Angola","Gas Oil/ Diesel Oil - Production","1997","Metric tons,  thousand","486",""
"Angola","Gas Oil/ Diesel Oil - Production","1996","Metric tons,  thousand","479",""
"Angola","Gas Oil/ Diesel Oil - Production","1995","Metric tons,  thousand","496",""
"Angola","Gas Oil/ Diesel Oil - Production","1994","Metric tons,  thousand","474",""
"Angola","Gas Oil/ Diesel Oil - Production","1993","Metric tons,  thousand","438",""
"Angola","Gas Oil/ Diesel Oil - Production","1992","Metric tons,  thousand","330","1"
"Angola","Gas Oil/ Diesel Oil - Production","1991","Metric tons,  thousand","325","1"
"Angola","Gas Oil/ Diesel Oil - Production","1990","Metric tons,  thousand","323","1"
"Argentina","Gas Oil/ Diesel Oil - Production","2017","Metric tons,  thousand","9803",""
"Argentina","Gas Oil/ Diesel Oil - Production","2016","Metric tons,  thousand","9716",""
