"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Albania","Other oil products n.e.c. - Production","2017","Metric tons,  thousand","102.86",""
"Albania","Other oil products n.e.c. - Production","2016","Metric tons,  thousand","56",""
"Albania","Other oil products n.e.c. - Production","2015","Metric tons,  thousand","92",""
"Albania","Other oil products n.e.c. - Production","2014","Metric tons,  thousand","78.07",""
"Albania","Other oil products n.e.c. - Production","2013","Metric tons,  thousand","10.35",""
"Albania","Other oil products n.e.c. - Production","2012","Metric tons,  thousand","41.81",""
"Albania","Other oil products n.e.c. - Production","2011","Metric tons,  thousand","85.8",""
"Albania","Other oil products n.e.c. - Production","2010","Metric tons,  thousand","43.73",""
"Albania","Other oil products n.e.c. - Production","2009","Metric tons,  thousand","90.61",""
"Albania","Other oil products n.e.c. - Production","2008","Metric tons,  thousand","94.4",""
"Albania","Other oil products n.e.c. - Production","2007","Metric tons,  thousand","115",""
"Albania","Other oil products n.e.c. - Production","2006","Metric tons,  thousand","100",""
"Albania","Other oil products n.e.c. - Production","2005","Metric tons,  thousand","92",""
"Albania","Other oil products n.e.c. - Production","2004","Metric tons,  thousand","46",""
"Albania","Other oil products n.e.c. - Production","2003","Metric tons,  thousand","58",""
"Albania","Other oil products n.e.c. - Production","2002","Metric tons,  thousand","83",""
"Albania","Other oil products n.e.c. - Production","2001","Metric tons,  thousand","46",""
"Albania","Other oil products n.e.c. - Production","2000","Metric tons,  thousand","47",""
"Albania","Other oil products n.e.c. - Production","1999","Metric tons,  thousand","46",""
"Albania","Other oil products n.e.c. - Production","1998","Metric tons,  thousand","0",""
"Algeria","Other oil products n.e.c. - Production","2017","Metric tons,  thousand","134","1"
"Algeria","Other oil products n.e.c. - Production","2016","Metric tons,  thousand","184","1"
"Algeria","Other oil products n.e.c. - Production","2015","Metric tons,  thousand","236","1"
"Algeria","Other oil products n.e.c. - Production","2014","Metric tons,  thousand","272",""
"Algeria","Other oil products n.e.c. - Production","2013","Metric tons,  thousand","64",""
"Algeria","Other oil products n.e.c. - Production","2012","Metric tons,  thousand","64",""
"Algeria","Other oil products n.e.c. - Production","2011","Metric tons,  thousand","69",""
"Algeria","Other oil products n.e.c. - Production","2010","Metric tons,  thousand","86",""
"Algeria","Other oil products n.e.c. - Production","2009","Metric tons,  thousand","138",""
"Algeria","Other oil products n.e.c. - Production","2008","Metric tons,  thousand","473",""
"Algeria","Other oil products n.e.c. - Production","2007","Metric tons,  thousand","0",""
"Argentina","Other oil products n.e.c. - Production","2012","Metric tons,  thousand","2970",""
"Argentina","Other oil products n.e.c. - Production","2011","Metric tons,  thousand","2694",""
"Argentina","Other oil products n.e.c. - Production","2010","Metric tons,  thousand","2842",""
"Argentina","Other oil products n.e.c. - Production","2009","Metric tons,  thousand","3113",""
"Argentina","Other oil products n.e.c. - Production","2008","Metric tons,  thousand","3052",""
"Argentina","Other oil products n.e.c. - Production","2007","Metric tons,  thousand","3812",""
"Argentina","Other oil products n.e.c. - Production","2006","Metric tons,  thousand","3529",""
"Argentina","Other oil products n.e.c. - Production","2005","Metric tons,  thousand","3697",""
"Argentina","Other oil products n.e.c. - Production","2004","Metric tons,  thousand","3675",""
"Argentina","Other oil products n.e.c. - Production","2003","Metric tons,  thousand","3525",""
"Argentina","Other oil products n.e.c. - Production","2002","Metric tons,  thousand","3392",""
"Aruba","Other oil products n.e.c. - Production","2016","Metric tons,  thousand","0",""
"Aruba","Other oil products n.e.c. - Production","2015","Metric tons,  thousand","0",""
"Aruba","Other oil products n.e.c. - Production","2014","Metric tons,  thousand","0",""
"Aruba","Other oil products n.e.c. - Production","2013","Metric tons,  thousand","0",""
"Aruba","Other oil products n.e.c. - Production","2012","Metric tons,  thousand","2440","1"
"Aruba","Other oil products n.e.c. - Production","2011","Metric tons,  thousand","10050","1"
"Aruba","Other oil products n.e.c. - Production","2010","Metric tons,  thousand","10067","1"
"Aruba","Other oil products n.e.c. - Production","2009","Metric tons,  thousand","10058","1"
"Aruba","Other oil products n.e.c. - Production","2008","Metric tons,  thousand","10050","1"
"Aruba","Other oil products n.e.c. - Production","2007","Metric tons,  thousand","10100","1"
"Aruba","Other oil products n.e.c. - Production","2006","Metric tons,  thousand","10000","1"
"Aruba","Other oil products n.e.c. - Production","2005","Metric tons,  thousand","10000",""
"Aruba","Other oil products n.e.c. - Production","2004","Metric tons,  thousand","10000",""
"Aruba","Other oil products n.e.c. - Production","2003","Metric tons,  thousand","10000",""
"Aruba","Other oil products n.e.c. - Production","2002","Metric tons,  thousand","10000",""
"Aruba","Other oil products n.e.c. - Production","2001","Metric tons,  thousand","10000",""
"Aruba","Other oil products n.e.c. - Production","2000","Metric tons,  thousand","10000",""
"Australia","Other oil products n.e.c. - Production","2018","Metric tons,  thousand","1048",""
"Australia","Other oil products n.e.c. - Production","2017","Metric tons,  thousand","79",""
"Australia","Other oil products n.e.c. - Production","2016","Metric tons,  thousand","141",""
