year,month,"co2, total","consumption, fossil fuel","consumption, nuclear","consumption, primary","consumption, renewable",gdp chained,"production, fossil fuel","production, nuclear","production, primary","production, renewable"
1973,1,454.3,6.747650999999999,0.068103,7.223872999999999,0.403981,5380.5,4.932632,0.068103,5.404715,0.403981
1973,4,1191.325,17.700926,0.201198,19.055534,1.141531,5441.5,14.392754999999998,0.201198,15.735483,1.141531
1973,7,1105.705,16.465586000000002,0.21196900000000002,17.826532,1.136698,5411.9,14.421367,0.21196900000000002,15.770034,1.136698
1973,10,1132.106,16.890961,0.252578,18.140034,0.984216,5462.4,14.771822,0.252578,16.008617,0.984216
1974,1,1267.861,18.854998000000002,0.261185,20.30998,1.181978,5417.0,14.651743,0.261185,16.094904,1.181978
1974,4,1144.458,17.021725,0.26810900000000004,18.546133,1.245739,5431.3,14.226263,0.26810900000000004,15.74011,1.245739
1974,7,1074.593,15.968302,0.26621,17.492086,1.246657,5378.7,14.239893,0.26621,15.752761999999999,1.246657
1974,10,1101.731,16.432306,0.381782,17.908718,1.083714,5357.2,14.250343999999998,0.381782,15.715838,1.083714
1975,1,1249.921,18.579629999999998,0.42463100000000004,20.134323000000002,1.1210309999999999,5292.4,13.348472000000001,0.42463100000000004,14.894134000000001,1.1210309999999999
1975,4,1135.445,16.697212,0.450898,18.350392,1.197136,5333.2,13.559092999999999,0.450898,15.207127,1.197136
1975,7,1015.8620000000001,14.898495,0.46122199999999997,16.596401,1.2313640000000001,5421.4,13.59468,0.46122199999999997,15.287265,1.2313640000000001
1975,10,1049.949,15.572619000000001,0.494504,17.151415,1.078973,5494.4,13.705734999999999,0.494504,15.279212,1.078973
1976,1,1238.732,18.357229,0.517514,20.089426,1.208667,5618.5,13.699905999999999,0.517514,15.426089000000001,1.208667
1976,4,1154.304,16.978313,0.43472,18.640404,1.220148,5661.0,13.712869999999999,0.43472,15.367738,1.220148
1976,7,1083.691,15.88497,0.501484,17.642547999999998,1.248708,5689.8,13.511546999999998,0.501484,15.26174,1.248708
1976,10,1104.732,16.237577,0.58558,17.954843,1.1242990000000002,5732.5,13.619212000000001,0.58558,15.329093,1.1242990000000002
1977,1,1388.326,20.490124,0.650047,22.240854999999996,1.090741,5799.2,13.562560999999999,0.650047,15.303349,1.090741
1977,4,1197.0149999999999,17.521306,0.64764,19.208029,1.0245950000000001,5913.0,13.737538,0.64764,15.409773000000001,1.0245950000000001
1977,7,1134.301,16.545258,0.688586,18.279131,1.030311,6017.6,13.784608,0.688586,15.503502999999998,1.030311
1977,10,1156.098,16.971522999999998,0.661439,18.653264,1.0053239999999999,6018.2,14.280939,0.661439,15.947702,1.0053239999999999
1978,1,1328.739,19.675999,0.7481800000000001,21.649028,1.209199,6039.2,12.859026,0.7481800000000001,14.816403999999999,1.209199
1978,4,1230.3490000000002,18.234873,0.676822,20.187815,1.2597040000000002,6274.0,12.734292,0.676822,14.670817000000001,1.2597040000000002
1978,7,1146.552,16.731444,0.739704,18.828088,1.339972,6335.3,14.388084,0.739704,16.46776,1.339972
1978,10,1166.5,17.037307,0.774456,19.008869999999998,1.1801400000000002,6420.3,14.365207000000002,0.774456,16.319802,1.1801400000000002
1979,1,1365.225,20.147728,0.8528560000000001,22.252165,1.2344380000000001,6433.0,14.369603,0.8528560000000001,16.456897,1.2344380000000001
1979,4,1273.35,18.789919,0.746991,20.848046,1.2942179999999999,6440.8,14.131653,0.746991,16.172860999999997,1.2942179999999999
1979,7,1150.882,16.828702,0.5647829999999999,18.76625,1.355276,6487.1,14.349076000000002,0.5647829999999999,16.269136,1.355276
1979,10,1167.9660000000001,17.157655000000002,0.7282649999999999,19.089123999999998,1.185715,6503.9,14.886136,0.7282649999999999,16.800116,1.185715
1980,1,1323.3690000000001,19.59643,0.648825,21.581690000000002,1.318792,6524.9,14.95693,0.648825,16.924547,1.318792
1980,4,1238.742,18.281299,0.633861,20.303505,1.3707880000000001,6392.6,14.861771000000001,0.633861,16.866419,1.3707880000000001
1980,7,1091.185,15.881050000000002,0.629729,18.015281,1.486555,6382.9,14.531328000000002,0.629729,16.647613,1.486555
1980,10,1115.161,16.30915,0.789902,18.350631999999997,1.233634,6501.2,14.520150999999998,0.789902,16.543686,1.233634
1981,1,1311.223,19.348382,0.7325680000000001,21.423285,1.3208030000000002,6635.7,14.886253999999997,0.7325680000000001,16.939626,1.3208030000000002
1981,4,1152.887,16.920773,0.708631,18.965925,1.308871,6587.3,14.047974,0.708631,16.065475,1.308871
1981,7,1098.543,15.940809,0.7055720000000001,18.143687,1.4687219999999999,6662.9,13.924828,0.7055720000000001,16.099121,1.4687219999999999
1981,10,1102.067,15.977879,0.793065,18.077742,1.278214,6585.1,15.494895,0.793065,17.566174,1.278214
1982,1,1256.286,18.415076,0.822375,20.675042,1.40994,6475.0,15.005373,0.822375,17.237688,1.40994
1982,4,1148.8980000000001,16.767173999999997,0.716731,19.055841,1.551476,6510.2,14.866789999999998,0.716731,17.134996,1.551476
1982,7,1019.1400000000001,14.641903,0.7876430000000001,17.010904,1.5640360000000002,6486.8,14.206819,0.7876430000000001,16.558498,1.5640360000000002
1982,10,1028.018,14.889163,0.815242,17.094406999999997,1.356825,6493.1,14.207569,0.815242,16.379635999999998,1.356825
1983,1,1155.84,16.959469000000002,0.800624,19.344897,1.555139,6578.2,13.918603000000001,0.800624,16.274366,1.555139
1983,4,1086.934,15.935654,0.746151,18.367196999999997,1.657587,6728.3,13.389559,0.746151,15.793294,1.657587
1983,7,1032.769,14.799841,0.783032,17.312034,1.7022270000000002,6860.0,13.187314,0.783032,15.672572,1.7022270000000002
1983,10,1064.3539999999998,15.17606,0.839744,17.529891,1.478712,7001.5,13.956508,0.839744,16.274963999999997,1.478712
1984,1,1237.373,17.878346,0.878044,20.453033,1.664889,7140.6,14.106779999999999,0.878044,16.649713000000002,1.664889
1984,4,1176.419,17.175467,0.867563,19.752226,1.680298,7266.0,14.644274,0.867563,17.192135,1.680298
1984,7,1095.6390000000001,15.763553000000002,0.8614789999999999,18.35276,1.6944430000000001,7337.5,14.832184000000002,0.8614789999999999,17.388105,1.6944430000000001
1984,10,1090.429,15.625335,0.904441,18.045263,1.474583,7396.0,14.932492,0.904441,17.311515999999997,1.474583
1985,1,1216.223,17.553837,0.985575,20.144483,1.5736620000000001,7469.5,14.294763,0.985575,16.854001,1.5736620000000001
1985,4,1169.9930000000002,17.045828,0.93805,19.563947,1.5497770000000002,7537.9,14.364557999999999,0.93805,16.852384999999998,1.5497770000000002
1985,7,1084.9550000000002,15.489493,1.0061,18.073275000000002,1.5398750000000003,7655.2,14.232894000000002,1.0061,16.778868,1.5398750000000003
