"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Albania","Brown coal - production","2014","Metric tons,  thousand","0",""
"Albania","Brown coal - production","2013","Metric tons,  thousand","3",""
"Albania","Brown coal - production","2012","Metric tons,  thousand","6.63",""
"Albania","Brown coal - production","2011","Metric tons,  thousand","6.8",""
"Albania","Brown coal - production","2010","Metric tons,  thousand","13.6",""
"Albania","Brown coal - production","2009","Metric tons,  thousand","13.6",""
"Albania","Brown coal - production","2008","Metric tons,  thousand","85",""
"Albania","Brown coal - production","2007","Metric tons,  thousand","64",""
"Albania","Brown coal - production","2006","Metric tons,  thousand","64",""
"Albania","Brown coal - production","2005","Metric tons,  thousand","64",""
"Albania","Brown coal - production","2004","Metric tons,  thousand","81",""
"Albania","Brown coal - production","2003","Metric tons,  thousand","81",""
"Albania","Brown coal - production","2002","Metric tons,  thousand","77",""
"Albania","Brown coal - production","2001","Metric tons,  thousand","21",""
"Albania","Brown coal - production","2000","Metric tons,  thousand","30",""
"Albania","Brown coal - production","1999","Metric tons,  thousand","49",""
"Albania","Brown coal - production","1998","Metric tons,  thousand","49",""
"Albania","Brown coal - production","1997","Metric tons,  thousand","39",""
"Albania","Brown coal - production","1996","Metric tons,  thousand","113",""
"Albania","Brown coal - production","1995","Metric tons,  thousand","163",""
"Albania","Brown coal - production","1994","Metric tons,  thousand","169",""
"Albania","Brown coal - production","1993","Metric tons,  thousand","600",""
"Albania","Brown coal - production","1992","Metric tons,  thousand","800",""
"Albania","Brown coal - production","1991","Metric tons,  thousand","1087",""
"Albania","Brown coal - production","1990","Metric tons,  thousand","2070","1"
"Australia","Brown coal - production","2018","Metric tons,  thousand","73477",""
"Australia","Brown coal - production","2017","Metric tons,  thousand","83752",""
"Australia","Brown coal - production","2016","Metric tons,  thousand","87143",""
"Australia","Brown coal - production","2015","Metric tons,  thousand","88118",""
"Australia","Brown coal - production","2014","Metric tons,  thousand","81787",""
"Australia","Brown coal - production","2013","Metric tons,  thousand","84862",""
"Australia","Brown coal - production","2012","Metric tons,  thousand","95086",""
"Australia","Brown coal - production","2011","Metric tons,  thousand","93992",""
"Australia","Brown coal - production","2010","Metric tons,  thousand","97737",""
"Australia","Brown coal - production","2009","Metric tons,  thousand","120597",""
"Australia","Brown coal - production","2008","Metric tons,  thousand","116012",""
"Australia","Brown coal - production","2007","Metric tons,  thousand","116890",""
"Australia","Brown coal - production","2006","Metric tons,  thousand","117806",""
"Australia","Brown coal - production","2005","Metric tons,  thousand","115315",""
"Australia","Brown coal - production","2004","Metric tons,  thousand","111400",""
"Australia","Brown coal - production","2003","Metric tons,  thousand","109436",""
"Australia","Brown coal - production","2002","Metric tons,  thousand","100796",""
"Australia","Brown coal - production","2001","Metric tons,  thousand","96803",""
"Australia","Brown coal - production","2000","Metric tons,  thousand","90555",""
"Australia","Brown coal - production","1999","Metric tons,  thousand","90265",""
"Australia","Brown coal - production","1998","Metric tons,  thousand","87910",""
"Australia","Brown coal - production","1997","Metric tons,  thousand","79314",""
"Australia","Brown coal - production","1996","Metric tons,  thousand","74764",""
"Australia","Brown coal - production","1995","Metric tons,  thousand","70725",""
"Australia","Brown coal - production","1994","Metric tons,  thousand","69078",""
"Australia","Brown coal - production","1993","Metric tons,  thousand","65705",""
"Australia","Brown coal - production","1992","Metric tons,  thousand","68723",""
"Australia","Brown coal - production","1991","Metric tons,  thousand","66702",""
"Australia","Brown coal - production","1990","Metric tons,  thousand","62770",""
"Austria","Brown coal - production","2004","Metric tons,  thousand","235",""
"Austria","Brown coal - production","2003","Metric tons,  thousand","1152",""
"Austria","Brown coal - production","2002","Metric tons,  thousand","1412",""
"Austria","Brown coal - production","2001","Metric tons,  thousand","1206",""
"Austria","Brown coal - production","2000","Metric tons,  thousand","1249",""
"Austria","Brown coal - production","1999","Metric tons,  thousand","1137",""
"Austria","Brown coal - production","1998","Metric tons,  thousand","1140",""
