"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Albania","Brown coal briquettes - production","1994","Metric tons,  thousand","2",""
"Albania","Brown coal briquettes - production","1993","Metric tons,  thousand","38",""
"Albania","Brown coal briquettes - production","1992","Metric tons,  thousand","37",""
"Albania","Brown coal briquettes - production","1991","Metric tons,  thousand","144",""
"Albania","Brown coal briquettes - production","1990","Metric tons,  thousand","267",""
"Australia","Brown coal briquettes - production","2016","Metric tons,  thousand","0",""
"Australia","Brown coal briquettes - production","2015","Metric tons,  thousand","44",""
"Australia","Brown coal briquettes - production","2014","Metric tons,  thousand","213",""
"Australia","Brown coal briquettes - production","2013","Metric tons,  thousand","224",""
"Australia","Brown coal briquettes - production","2012","Metric tons,  thousand","228",""
"Australia","Brown coal briquettes - production","2011","Metric tons,  thousand","213",""
"Australia","Brown coal briquettes - production","2010","Metric tons,  thousand","190",""
"Australia","Brown coal briquettes - production","2009","Metric tons,  thousand","241",""
"Australia","Brown coal briquettes - production","2008","Metric tons,  thousand","273",""
"Australia","Brown coal briquettes - production","2007","Metric tons,  thousand","308",""
"Australia","Brown coal briquettes - production","2006","Metric tons,  thousand","384",""
"Australia","Brown coal briquettes - production","2005","Metric tons,  thousand","320",""
"Australia","Brown coal briquettes - production","2004","Metric tons,  thousand","168",""
"Australia","Brown coal briquettes - production","2003","Metric tons,  thousand","480",""
"Australia","Brown coal briquettes - production","2002","Metric tons,  thousand","299",""
"Australia","Brown coal briquettes - production","2001","Metric tons,  thousand","338",""
"Australia","Brown coal briquettes - production","2000","Metric tons,  thousand","372",""
"Australia","Brown coal briquettes - production","1999","Metric tons,  thousand","372",""
"Australia","Brown coal briquettes - production","1998","Metric tons,  thousand","472",""
"Australia","Brown coal briquettes - production","1997","Metric tons,  thousand","553",""
"Australia","Brown coal briquettes - production","1996","Metric tons,  thousand","458",""
"Australia","Brown coal briquettes - production","1995","Metric tons,  thousand","572",""
"Australia","Brown coal briquettes - production","1994","Metric tons,  thousand","580",""
"Australia","Brown coal briquettes - production","1993","Metric tons,  thousand","516",""
"Australia","Brown coal briquettes - production","1992","Metric tons,  thousand","721",""
"Australia","Brown coal briquettes - production","1991","Metric tons,  thousand","715",""
"Australia","Brown coal briquettes - production","1990","Metric tons,  thousand","706",""
"Bulgaria","Brown coal briquettes - production","2017","Metric tons,  thousand","1192",""
"Bulgaria","Brown coal briquettes - production","2016","Metric tons,  thousand","1313",""
"Bulgaria","Brown coal briquettes - production","2015","Metric tons,  thousand","938",""
"Bulgaria","Brown coal briquettes - production","2014","Metric tons,  thousand","1392",""
"Bulgaria","Brown coal briquettes - production","2013","Metric tons,  thousand","1576",""
"Bulgaria","Brown coal briquettes - production","2012","Metric tons,  thousand","995",""
"Bulgaria","Brown coal briquettes - production","2011","Metric tons,  thousand","856",""
"Bulgaria","Brown coal briquettes - production","2010","Metric tons,  thousand","1356",""
"Bulgaria","Brown coal briquettes - production","2009","Metric tons,  thousand","1672",""
"Bulgaria","Brown coal briquettes - production","2008","Metric tons,  thousand","1991",""
"Bulgaria","Brown coal briquettes - production","2007","Metric tons,  thousand","2077",""
"Bulgaria","Brown coal briquettes - production","2006","Metric tons,  thousand","1905",""
"Bulgaria","Brown coal briquettes - production","2005","Metric tons,  thousand","1491",""
"Bulgaria","Brown coal briquettes - production","2004","Metric tons,  thousand","1078",""
"Bulgaria","Brown coal briquettes - production","2003","Metric tons,  thousand","1303",""
"Bulgaria","Brown coal briquettes - production","2002","Metric tons,  thousand","1285",""
"Bulgaria","Brown coal briquettes - production","2001","Metric tons,  thousand","1045",""
"Bulgaria","Brown coal briquettes - production","2000","Metric tons,  thousand","1124",""
"Bulgaria","Brown coal briquettes - production","1999","Metric tons,  thousand","1261",""
"Bulgaria","Brown coal briquettes - production","1998","Metric tons,  thousand","1152",""
"Bulgaria","Brown coal briquettes - production","1997","Metric tons,  thousand","1082",""
"Bulgaria","Brown coal briquettes - production","1996","Metric tons,  thousand","1201",""
"Bulgaria","Brown coal briquettes - production","1995","Metric tons,  thousand","1011",""
"Bulgaria","Brown coal briquettes - production","1994","Metric tons,  thousand","1168",""
"Bulgaria","Brown coal briquettes - production","1993","Metric tons,  thousand","1627",""
"Bulgaria","Brown coal briquettes - production","1992","Metric tons,  thousand","1412",""
"Bulgaria","Brown coal briquettes - production","1991","Metric tons,  thousand","1317",""
"Bulgaria","Brown coal briquettes - production","1990","Metric tons,  thousand","1451",""
"Czechia","Brown coal briquettes - production","2018","Metric tons,  thousand","145",""
"Czechia","Brown coal briquettes - production","2017","Metric tons,  thousand","128",""
"Czechia","Brown coal briquettes - production","2016","Metric tons,  thousand","118",""
"Czechia","Brown coal briquettes - production","2015","Metric tons,  thousand","122",""
"Czechia","Brown coal briquettes - production","2014","Metric tons,  thousand","144",""
"Czechia","Brown coal briquettes - production","2013","Metric tons,  thousand","137",""
"Czechia","Brown coal briquettes - production","2012","Metric tons,  thousand","144",""
"Czechia","Brown coal briquettes - production","2011","Metric tons,  thousand","93",""
"Czechia","Brown coal briquettes - production","2010","Metric tons,  thousand","228",""
"Czechia","Brown coal briquettes - production","2009","Metric tons,  thousand","170",""
"Czechia","Brown coal briquettes - production","2008","Metric tons,  thousand","156",""
"Czechia","Brown coal briquettes - production","2007","Metric tons,  thousand","247",""
"Czechia","Brown coal briquettes - production","2006","Metric tons,  thousand","345",""
"Czechia","Brown coal briquettes - production","2005","Metric tons,  thousand","301",""
"Czechia","Brown coal briquettes - production","2004","Metric tons,  thousand","317",""
"Czechia","Brown coal briquettes - production","2003","Metric tons,  thousand","314",""
"Czechia","Brown coal briquettes - production","2002","Metric tons,  thousand","302",""
"Czechia","Brown coal briquettes - production","2001","Metric tons,  thousand","280",""
"Czechia","Brown coal briquettes - production","2000","Metric tons,  thousand","253",""
"Czechia","Brown coal briquettes - production","1999","Metric tons,  thousand","288",""
"Czechia","Brown coal briquettes - production","1998","Metric tons,  thousand","325",""
