"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Argentina","Electricity - total nuclear production","2017","Kilowatt-hours, million","6088",""
"Argentina","Electricity - total nuclear production","2016","Kilowatt-hours, million","8285","1"
"Argentina","Electricity - total nuclear production","2015","Kilowatt-hours, million","7139",""
"Argentina","Electricity - total nuclear production","2014","Kilowatt-hours, million","5756",""
"Argentina","Electricity - total nuclear production","2013","Kilowatt-hours, million","6207",""
"Argentina","Electricity - total nuclear production","2012","Kilowatt-hours, million","6395",""
"Argentina","Electricity - total nuclear production","2011","Kilowatt-hours, million","6371",""
"Argentina","Electricity - total nuclear production","2010","Kilowatt-hours, million","7171",""
"Argentina","Electricity - total nuclear production","2009","Kilowatt-hours, million","8161",""
"Argentina","Electricity - total nuclear production","2008","Kilowatt-hours, million","7330",""
"Argentina","Electricity - total nuclear production","2007","Kilowatt-hours, million","7217",""
"Argentina","Electricity - total nuclear production","2006","Kilowatt-hours, million","7691",""
"Argentina","Electricity - total nuclear production","2005","Kilowatt-hours, million","6873",""
"Argentina","Electricity - total nuclear production","2004","Kilowatt-hours, million","7869",""
"Argentina","Electricity - total nuclear production","2003","Kilowatt-hours, million","7566",""
"Argentina","Electricity - total nuclear production","2002","Kilowatt-hours, million","5821",""
"Argentina","Electricity - total nuclear production","2001","Kilowatt-hours, million","7059",""
"Argentina","Electricity - total nuclear production","2000","Kilowatt-hours, million","6177",""
"Argentina","Electricity - total nuclear production","1999","Kilowatt-hours, million","7106",""
"Argentina","Electricity - total nuclear production","1998","Kilowatt-hours, million","7453",""
"Argentina","Electricity - total nuclear production","1997","Kilowatt-hours, million","7961",""
"Argentina","Electricity - total nuclear production","1996","Kilowatt-hours, million","7459",""
"Argentina","Electricity - total nuclear production","1995","Kilowatt-hours, million","7066",""
"Argentina","Electricity - total nuclear production","1994","Kilowatt-hours, million","8235",""
"Argentina","Electricity - total nuclear production","1993","Kilowatt-hours, million","7750",""
"Argentina","Electricity - total nuclear production","1992","Kilowatt-hours, million","7081",""
"Argentina","Electricity - total nuclear production","1991","Kilowatt-hours, million","7771",""
"Argentina","Electricity - total nuclear production","1990","Kilowatt-hours, million","7281",""
"Armenia","Electricity - total nuclear production","2017","Kilowatt-hours, million","2620",""
"Armenia","Electricity - total nuclear production","2016","Kilowatt-hours, million","2381",""
"Armenia","Electricity - total nuclear production","2015","Kilowatt-hours, million","2788",""
"Armenia","Electricity - total nuclear production","2014","Kilowatt-hours, million","2465",""
"Armenia","Electricity - total nuclear production","2013","Kilowatt-hours, million","2360",""
"Armenia","Electricity - total nuclear production","2012","Kilowatt-hours, million","2322",""
"Armenia","Electricity - total nuclear production","2011","Kilowatt-hours, million","2548",""
"Armenia","Electricity - total nuclear production","2010","Kilowatt-hours, million","2490",""
"Armenia","Electricity - total nuclear production","2009","Kilowatt-hours, million","2494",""
"Armenia","Electricity - total nuclear production","2008","Kilowatt-hours, million","2461",""
"Armenia","Electricity - total nuclear production","2007","Kilowatt-hours, million","2553",""
"Armenia","Electricity - total nuclear production","2006","Kilowatt-hours, million","2640",""
"Armenia","Electricity - total nuclear production","2005","Kilowatt-hours, million","2716",""
