"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Algeria","Electricity - total wind production","2018","Kilowatt-hours, million","84","1"
"Algeria","Electricity - total wind production","2017","Kilowatt-hours, million","68","1"
"Algeria","Electricity - total wind production","2016","Kilowatt-hours, million","19",""
"Algeria","Electricity - total wind production","2015","Kilowatt-hours, million","19",""
"Argentina","Electricity - total wind production","2017","Kilowatt-hours, million","612",""
"Argentina","Electricity - total wind production","2016","Kilowatt-hours, million","547",""
"Argentina","Electricity - total wind production","2015","Kilowatt-hours, million","599",""
"Argentina","Electricity - total wind production","2014","Kilowatt-hours, million","619",""
"Argentina","Electricity - total wind production","2013","Kilowatt-hours, million","461",""
"Argentina","Electricity - total wind production","2012","Kilowatt-hours, million","369",""
"Argentina","Electricity - total wind production","2011","Kilowatt-hours, million","26",""
"Argentina","Electricity - total wind production","2010","Kilowatt-hours, million","25",""
"Argentina","Electricity - total wind production","2009","Kilowatt-hours, million","36",""
"Argentina","Electricity - total wind production","2008","Kilowatt-hours, million","42",""
"Argentina","Electricity - total wind production","2007","Kilowatt-hours, million","61",""
"Argentina","Electricity - total wind production","2006","Kilowatt-hours, million","70",""
"Argentina","Electricity - total wind production","2005","Kilowatt-hours, million","75",""
"Argentina","Electricity - total wind production","2004","Kilowatt-hours, million","72",""
"Argentina","Electricity - total wind production","2003","Kilowatt-hours, million","78",""
"Argentina","Electricity - total wind production","2002","Kilowatt-hours, million","73",""
"Argentina","Electricity - total wind production","2001","Kilowatt-hours, million","49",""
"Argentina","Electricity - total wind production","2000","Kilowatt-hours, million","35",""
"Argentina","Electricity - total wind production","1999","Kilowatt-hours, million","35",""
"Argentina","Electricity - total wind production","1998","Kilowatt-hours, million","33",""
"Argentina","Electricity - total wind production","1997","Kilowatt-hours, million","15",""
"Argentina","Electricity - total wind production","1996","Kilowatt-hours, million","10",""
"Armenia","Electricity - total wind production","2017","Kilowatt-hours, million","2.1",""
"Armenia","Electricity - total wind production","2016","Kilowatt-hours, million","2",""
"Armenia","Electricity - total wind production","2015","Kilowatt-hours, million","3",""
"Armenia","Electricity - total wind production","2014","Kilowatt-hours, million","4",""
"Armenia","Electricity - total wind production","2013","Kilowatt-hours, million","4",""
"Armenia","Electricity - total wind production","2012","Kilowatt-hours, million","4",""
"Armenia","Electricity - total wind production","2011","Kilowatt-hours, million","6",""
"Armenia","Electricity - total wind production","2010","Kilowatt-hours, million","7",""
"Armenia","Electricity - total wind production","2009","Kilowatt-hours, million","4",""
"Armenia","Electricity - total wind production","2008","Kilowatt-hours, million","2",""
"Aruba","Electricity - total wind production","2017","Kilowatt-hours, million","138.4","1"
"Aruba","Electricity - total wind production","2016","Kilowatt-hours, million","138.4","1"
"Aruba","Electricity - total wind production","2015","Kilowatt-hours, million","138.4","1"
"Aruba","Electricity - total wind production","2014","Kilowatt-hours, million","138.4","1"
"Aruba","Electricity - total wind production","2013","Kilowatt-hours, million","138.4","1"
"Aruba","Electricity - total wind production","2012","Kilowatt-hours, million","136.4",""
