"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Albania","Fuel oil - Production","2017","Metric tons,  thousand","0",""
"Albania","Fuel oil - Production","2016","Metric tons,  thousand","1",""
"Albania","Fuel oil - Production","2015","Metric tons,  thousand","0",""
"Albania","Fuel oil - Production","2014","Metric tons,  thousand","2.08",""
"Albania","Fuel oil - Production","2013","Metric tons,  thousand","0",""
"Albania","Fuel oil - Production","2012","Metric tons,  thousand","0",""
"Albania","Fuel oil - Production","2011","Metric tons,  thousand","8.9",""
"Albania","Fuel oil - Production","2010","Metric tons,  thousand","4.21",""
"Albania","Fuel oil - Production","2009","Metric tons,  thousand","11.16",""
"Albania","Fuel oil - Production","2008","Metric tons,  thousand","29.04",""
"Albania","Fuel oil - Production","2007","Metric tons,  thousand","31",""
"Albania","Fuel oil - Production","2006","Metric tons,  thousand","48",""
"Albania","Fuel oil - Production","2005","Metric tons,  thousand","68",""
"Albania","Fuel oil - Production","2004","Metric tons,  thousand","68",""
"Albania","Fuel oil - Production","2003","Metric tons,  thousand","46",""
"Albania","Fuel oil - Production","2002","Metric tons,  thousand","80",""
"Albania","Fuel oil - Production","2001","Metric tons,  thousand","42",""
"Albania","Fuel oil - Production","2000","Metric tons,  thousand","43",""
"Albania","Fuel oil - Production","1999","Metric tons,  thousand","45",""
"Albania","Fuel oil - Production","1998","Metric tons,  thousand","62",""
"Albania","Fuel oil - Production","1997","Metric tons,  thousand","91",""
"Albania","Fuel oil - Production","1996","Metric tons,  thousand","114",""
"Albania","Fuel oil - Production","1995","Metric tons,  thousand","123",""
"Albania","Fuel oil - Production","1994","Metric tons,  thousand","82",""
"Albania","Fuel oil - Production","1993","Metric tons,  thousand","106",""
"Albania","Fuel oil - Production","1992","Metric tons,  thousand","236",""
"Albania","Fuel oil - Production","1991","Metric tons,  thousand","350",""
"Albania","Fuel oil - Production","1990","Metric tons,  thousand","231",""
"Algeria","Fuel oil - Production","2018","Metric tons,  thousand","5822",""
"Algeria","Fuel oil - Production","2017","Metric tons,  thousand","6402",""
"Algeria","Fuel oil - Production","2016","Metric tons,  thousand","6870",""
"Algeria","Fuel oil - Production","2015","Metric tons,  thousand","6617",""
"Algeria","Fuel oil - Production","2014","Metric tons,  thousand","6594",""
"Algeria","Fuel oil - Production","2013","Metric tons,  thousand","5358",""
"Algeria","Fuel oil - Production","2012","Metric tons,  thousand","5115",""
"Algeria","Fuel oil - Production","2011","Metric tons,  thousand","5848",""
"Algeria","Fuel oil - Production","2010","Metric tons,  thousand","5749",""
"Algeria","Fuel oil - Production","2009","Metric tons,  thousand","5581",""
"Algeria","Fuel oil - Production","2008","Metric tons,  thousand","6009",""
"Algeria","Fuel oil - Production","2007","Metric tons,  thousand","5518",""
"Algeria","Fuel oil - Production","2006","Metric tons,  thousand","5340",""
"Algeria","Fuel oil - Production","2005","Metric tons,  thousand","5055",""
"Algeria","Fuel oil - Production","2004","Metric tons,  thousand","5560",""
"Algeria","Fuel oil - Production","2003","Metric tons,  thousand","6093",""
"Algeria","Fuel oil - Production","2002","Metric tons,  thousand","5833",""
"Algeria","Fuel oil - Production","2001","Metric tons,  thousand","5755",""
"Algeria","Fuel oil - Production","2000","Metric tons,  thousand","5526",""
"Algeria","Fuel oil - Production","1999","Metric tons,  thousand","5683",""
"Algeria","Fuel oil - Production","1998","Metric tons,  thousand","5061",""
"Algeria","Fuel oil - Production","1997","Metric tons,  thousand","5556",""
"Algeria","Fuel oil - Production","1996","Metric tons,  thousand","4983",""
"Algeria","Fuel oil - Production","1995","Metric tons,  thousand","5304",""
"Algeria","Fuel oil - Production","1994","Metric tons,  thousand","5085",""
"Algeria","Fuel oil - Production","1993","Metric tons,  thousand","5522",""
"Algeria","Fuel oil - Production","1992","Metric tons,  thousand","5700",""
"Algeria","Fuel oil - Production","1991","Metric tons,  thousand","5645",""
"Algeria","Fuel oil - Production","1990","Metric tons,  thousand","5948",""
"Angola","Fuel oil - Production","2017","Metric tons,  thousand","995",""
"Angola","Fuel oil - Production","2016","Metric tons,  thousand","703",""
"Angola","Fuel oil - Production","2015","Metric tons,  thousand","802",""
"Angola","Fuel oil - Production","2014","Metric tons,  thousand","921",""
"Angola","Fuel oil - Production","2013","Metric tons,  thousand","815",""
"Angola","Fuel oil - Production","2012","Metric tons,  thousand","737",""
"Angola","Fuel oil - Production","2011","Metric tons,  thousand","727",""
"Angola","Fuel oil - Production","2010","Metric tons,  thousand","680",""
"Angola","Fuel oil - Production","2009","Metric tons,  thousand","671",""
"Angola","Fuel oil - Production","2008","Metric tons,  thousand","680",""
"Angola","Fuel oil - Production","2007","Metric tons,  thousand","601",""
"Angola","Fuel oil - Production","2006","Metric tons,  thousand","587",""
"Angola","Fuel oil - Production","2005","Metric tons,  thousand","609",""
"Angola","Fuel oil - Production","2004","Metric tons,  thousand","603.97",""
"Angola","Fuel oil - Production","2003","Metric tons,  thousand","609",""
"Angola","Fuel oil - Production","2002","Metric tons,  thousand","591",""
"Angola","Fuel oil - Production","2001","Metric tons,  thousand","553",""
"Angola","Fuel oil - Production","2000","Metric tons,  thousand","595",""
"Angola","Fuel oil - Production","1999","Metric tons,  thousand","646",""
"Angola","Fuel oil - Production","1998","Metric tons,  thousand","644",""
"Angola","Fuel oil - Production","1997","Metric tons,  thousand","699",""
"Angola","Fuel oil - Production","1996","Metric tons,  thousand","680",""
"Angola","Fuel oil - Production","1995","Metric tons,  thousand","638",""
"Angola","Fuel oil - Production","1994","Metric tons,  thousand","601",""
"Angola","Fuel oil - Production","1993","Metric tons,  thousand","517",""
"Angola","Fuel oil - Production","1992","Metric tons,  thousand","547",""
"Angola","Fuel oil - Production","1991","Metric tons,  thousand","655","1"
"Angola","Fuel oil - Production","1990","Metric tons,  thousand","653","1"
"Argentina","Fuel oil - Production","2017","Metric tons,  thousand","2993",""
"Argentina","Fuel oil - Production","2016","Metric tons,  thousand","3923",""
"Argentina","Fuel oil - Production","2015","Metric tons,  thousand","4606",""
"Argentina","Fuel oil - Production","2014","Metric tons,  thousand","4593",""
"Argentina","Fuel oil - Production","2013","Metric tons,  thousand","4257",""
"Argentina","Fuel oil - Production","2012","Metric tons,  thousand","3953",""
"Argentina","Fuel oil - Production","2011","Metric tons,  thousand","3351",""
"Argentina","Fuel oil - Production","2010","Metric tons,  thousand","3653",""
"Argentina","Fuel oil - Production","2009","Metric tons,  thousand","3219",""
"Argentina","Fuel oil - Production","2008","Metric tons,  thousand","4714",""
"Argentina","Fuel oil - Production","2007","Metric tons,  thousand","4267",""
"Argentina","Fuel oil - Production","2006","Metric tons,  thousand","3422",""
"Argentina","Fuel oil - Production","2005","Metric tons,  thousand","2795",""
"Argentina","Fuel oil - Production","2004","Metric tons,  thousand","2368",""
"Argentina","Fuel oil - Production","2003","Metric tons,  thousand","1946",""
"Argentina","Fuel oil - Production","2002","Metric tons,  thousand","1803",""
"Argentina","Fuel oil - Production","2001","Metric tons,  thousand","2361",""
"Argentina","Fuel oil - Production","2000","Metric tons,  thousand","2138",""
"Argentina","Fuel oil - Production","1999","Metric tons,  thousand","2545",""
"Argentina","Fuel oil - Production","1998","Metric tons,  thousand","2445",""
"Argentina","Fuel oil - Production","1997","Metric tons,  thousand","2555",""
"Argentina","Fuel oil - Production","1996","Metric tons,  thousand","1924",""
"Argentina","Fuel oil - Production","1995","Metric tons,  thousand","2282",""
"Argentina","Fuel oil - Production","1994","Metric tons,  thousand","2748",""
"Argentina","Fuel oil - Production","1993","Metric tons,  thousand","3089",""
"Argentina","Fuel oil - Production","1992","Metric tons,  thousand","3370",""
"Argentina","Fuel oil - Production","1991","Metric tons,  thousand","3654",""
"Argentina","Fuel oil - Production","1990","Metric tons,  thousand","4239",""
"Australia","Fuel oil - Production","2018","Metric tons,  thousand","767",""
"Australia","Fuel oil - Production","2017","Metric tons,  thousand","644",""
"Australia","Fuel oil - Production","2016","Metric tons,  thousand","516",""
"Australia","Fuel oil - Production","2015","Metric tons,  thousand","602",""
"Australia","Fuel oil - Production","2014","Metric tons,  thousand","645",""
"Australia","Fuel oil - Production","2013","Metric tons,  thousand","888",""
"Australia","Fuel oil - Production","2012","Metric tons,  thousand","945",""
"Australia","Fuel oil - Production","2011","Metric tons,  thousand","954",""
"Australia","Fuel oil - Production","2010","Metric tons,  thousand","860",""
"Australia","Fuel oil - Production","2009","Metric tons,  thousand","890",""
"Australia","Fuel oil - Production","2008","Metric tons,  thousand","984",""
"Australia","Fuel oil - Production","2007","Metric tons,  thousand","952",""
"Australia","Fuel oil - Production","2006","Metric tons,  thousand","1051",""
"Australia","Fuel oil - Production","2005","Metric tons,  thousand","1085",""
"Australia","Fuel oil - Production","2004","Metric tons,  thousand","1071",""
"Australia","Fuel oil - Production","2003","Metric tons,  thousand","1310",""
"Australia","Fuel oil - Production","2002","Metric tons,  thousand","1825",""
"Australia","Fuel oil - Production","2001","Metric tons,  thousand","1886",""
"Australia","Fuel oil - Production","2000","Metric tons,  thousand","1769",""
"Australia","Fuel oil - Production","1999","Metric tons,  thousand","1592",""
"Australia","Fuel oil - Production","1998","Metric tons,  thousand","1605",""
"Australia","Fuel oil - Production","1997","Metric tons,  thousand","1808",""
"Australia","Fuel oil - Production","1996","Metric tons,  thousand","2077",""
"Australia","Fuel oil - Production","1995","Metric tons,  thousand","2476",""
